央视,#genre#
NewTV军旅剧场,http://113.9.155.125:88/hls/140/index.m3u8
NewTV军旅剧场,http://113.9.155.47:88/hls/140/index.m3u8
NewTV精品纪录,http://113.9.155.125:88/hls/141/index.m3u8
NewTV精品纪录,http://113.9.155.47:88/hls/141/index.m3u8
NewTV家庭剧场,http://113.9.155.125:88/hls/142/index.m3u8
NewTV家庭剧场,http://113.9.155.47:88/hls/142/index.m3u8
NewTV精品体育,http://113.9.155.125:88/hls/143/index.m3u8
NewTV精品体育,http://113.9.155.47:88/hls/143/index.m3u8
NewTV爱情喜剧,http://113.9.155.125:88/hls/144/index.m3u8
NewTV爱情喜剧,http://113.9.155.47:88/hls/144/index.m3u8
NewTV惊悚悬疑,http://113.9.155.125:88/hls/145/index.m3u8
NewTV惊悚悬疑,http://113.9.155.47:88/hls/145/index.m3u8
NewTV金牌综艺,http://113.9.155.125:88/hls/146/index.m3u8
NewTV金牌综艺,http://113.9.155.47:88/hls/146/index.m3u8
NewTV军事评论,http://113.9.155.125:88/hls/147/index.m3u8
NewTV军事评论,http://113.9.155.47:88/hls/147/index.m3u8
NewTV农业致富,http://113.9.155.125:88/hls/148/index.m3u8
NewTV农业致富,http://113.9.155.47:88/hls/148/index.m3u8
NewTV怡伴健康,http://113.9.155.125:88/hls/149/index.m3u8
NewTV怡伴健康,http://113.9.155.47:88/hls/149/index.m3u8
NewTV潮妈辣妹,http://113.9.155.125:88/hls/150/index.m3u8
NewTV潮妈辣妹,http://113.9.155.47:88/hls/150/index.m3u8
NewTV武博世界,http://113.9.155.125:88/hls/151/index.m3u8
NewTV武博世界,http://113.9.155.47:88/hls/151/index.m3u8
NewTV中国功夫,http://113.9.155.125:88/hls/152/index.m3u8
NewTV中国功夫,http://113.9.155.47:88/hls/152/index.m3u8
NewTV炫舞未来,http://113.9.155.125:88/hls/153/index.m3u8
NewTV炫舞未来,http://113.9.155.47:88/hls/153/index.m3u8
电影1,http://113.9.155.125:88/hls/154/index.m3u8
电影1,http://113.9.155.47:88/hls/154/index.m3u8
电影2,http://113.9.155.125:88/hls/155/index.m3u8
电影2,http://113.9.155.47:88/hls/155/index.m3u8
黑莓电影,http://113.9.155.125:88/hls/119/index.m3u8
黑莓电影,http://113.9.155.47:88/hls/119/index.m3u8
CCTV1,http://bxny.667789.cn:88/hls/1/index.m3u8
CCTV2,http://bxny.667789.cn:88/hls/2/index.m3u8
CCTV3,http://bxny.667789.cn:88/hls/3/index.m3u8
CCTV4,http://bxny.667789.cn:88/hls/4/index.m3u8
CCTV5,http://bxny.667789.cn:88/hls/5/index.m3u8
CCTV5+,http://bxny.667789.cn:88/hls/16/index.m3u8
CCTV6,http://bxny.667789.cn:88/hls/6/index.m3u8
CCTV7,http://bxny.667789.cn:88/hls/7/index.m3u8
CCTV8,http://bxny.667789.cn:88/hls/8/index.m3u8
CCTV9,http://bxny.667789.cn:88/hls/9/index.m3u8
CCTV10,http://bxny.667789.cn:88/hls/10/index.m3u8
CCTV11,http://bxny.667789.cn:88/hls/11/index.m3u8
CCTV12,http://bxny.667789.cn:88/hls/12/index.m3u8
CCTV13,http://bxny.667789.cn:88/hls/13/index.m3u8
CCTV14,http://bxny.667789.cn:88/hls/14/index.m3u8
CCTV15,http://bxny.667789.cn:88/hls/15/index.m3u8
CCTV16,http://bxny.667789.cn:88/hls/100/index.m3u8
CCTV17,http://bxny.667789.cn:88/hls/17/index.m3u8
CETV1,http://bxny.667789.cn:88/hls/94/index.m3u8
CETV2,http://bxny.667789.cn:88/hls/95/index.m3u8
CETV4,http://bxny.667789.cn:88/hls/96/index.m3u8
黑龙江卫视,http://bxny.667789.cn:88/hls/18/index.m3u8
黑龙江都市,http://bxny.667789.cn:88/hls/19/index.m3u8
黑龙江新闻,http://bxny.667789.cn:88/hls/20/index.m3u8
黑龙江公共农业,http://bxny.667789.cn:88/hls/21/index.m3u8
黑龙江少儿,http://bxny.667789.cn:88/hls/22/index.m3u8
黑龙江文体,http://bxny.667789.cn:88/hls/23/index.m3u8
黑龙江影视,http://bxny.667789.cn:88/hls/24/index.m3u8
哈尔滨都市资讯,http://bxny.667789.cn:88/hls/472/index.m3u8
哈尔滨娱乐台,http://bxny.667789.cn:88/hls/122/index.m3u8
哈尔滨影视台,http://bxny.667789.cn:88/hls/124/index.m3u8
哈尔滨生活台,http://bxny.667789.cn:88/hls/109/index.m3u8
哈尔滨新闻综合,http://bxny.667789.cn:88/hls/25/index.m3u8
新闻综合,http://bxny.667789.cn:88/hls/63/index.m3u8
新闻综合1,http://bxny.667789.cn:88/hls/64/index.m3u8
新闻综合2,http://bxny.667789.cn:88/hls/65/index.m3u8
新闻综合3,http://bxny.667789.cn:88/hls/66/index.m3u8
经济法制,http://bxny.667789.cn:88/hls/126/index.m3u8
吉林卫视,http://bxny.667789.cn:88/hls/26/index.m3u8
延边卫视,http://bxny.667789.cn:88/hls/29/index.m3u8
辽宁卫视,http://bxny.667789.cn:88/hls/30/index.m3u8
北京卫视,http://bxny.667789.cn:88/hls/31/index.m3u8
东方卫视,http://bxny.667789.cn:88/hls/32/index.m3u8
湖南卫视,http://bxny.667789.cn:88/hls/33/index.m3u8
湖北卫视,http://bxny.667789.cn:88/hls/34/index.m3u8
河北卫视,http://bxny.667789.cn:88/hls/35/index.m3u8
安徽卫视,http://bxny.667789.cn:88/hls/36/index.m3u8
大湾区卫视,http://bxny.667789.cn:88/hls/37/index.m3u8
广东卫视,http://bxny.667789.cn:88/hls/38/index.m3u8
天津卫视,http://bxny.667789.cn:88/hls/39/index.m3u8
深圳卫视,http://bxny.667789.cn:88/hls/40/index.m3u8
江苏卫视,http://bxny.667789.cn:88/hls/41/index.m3u8
浙江卫视,http://bxny.667789.cn:88/hls/42/index.m3u8
